Grade,Dno,Dname,Sno,Sname,Stcount,Passpc
5,13,MIAMI DADE,5961,WINSTON PARK K-8 CENTER,151,63
5,13,MIAMI DADE,5971,NATHAN B. YOUNG ELEMENTARY SCHOOL,24,33
5,13,MIAMI DADE,5981,DR. EDWARD L. WHIGHAM ELEM.,101,42
5,13,MIAMI DADE,5991,CHARLES DAVID WYCHE JR ELEMENTARY,120,48
5,13,MIAMI DADE,7001,MIAMI-DADE ONLINE ACADEMY,19,53
5,13,MIAMI DADE,8151,ROBERT RENICK EDUCATION CENTER,10,0
5,13,MIAMI DADE,8181,RUTH OWENS KRUSE EDUCATION CENTER,7,-1
5,13,MIAMI DADE,9732,BRUCIE BALL EDUCATIONAL CENTER,5,-1
5,14,DESOTO,61,WEST ELEMENTARY SCHOOL,142,30
5,14,DESOTO,81,MEMORIAL ELEMENTARY SCHOOL,117,24
5,14,DESOTO,181,NOCATEE ELEMENTARY SCHOOL,91,23
5,14,DESOTO,291,DESOTO CONNECTIONS,1,-1
5,14,DESOTO,9114,REDUCED SERVICES,1,-1
5,15,DIXIE,41,OLD TOWN ELEMENTARY SCHOOL,75,71
5,15,DIXIE,101,JAMES M. ANDERSON ELEMENTARY SCHOOL,68,47
5,16,DUVAL,121,WEST RIVERSIDE ELEMENTARY SCHOOL,49,45
5,16,DUVAL,151,BRENTWOOD ELEMENTARY SCHOOL,40,10
5,16,DUVAL,161,ORTEGA ELEMENTARY SCHOOL,56,64
5,16,DUVAL,181,CENTRAL RIVERSIDE ELEM. SCHOOL,60,68
5,16,DUVAL,191,RUTH N. UPSON ELEMENTARY SCHOOL,51,53
5,16,DUVAL,201,FISHWEIR ELEMENTARY SCHOOL,58,79
5,16,DUVAL,211,ANNIE R. MORGAN ELEMENTARY SCHOOL,49,22
5,16,DUVAL,301,LORETTO ELEMENTARY SCHOOL,159,77
5,16,DUVAL,371,HENRY F. KITE ELEMENTARY SCHOOL,40,38
5,16,DUVAL,451,DINSMORE ELEMENTARY SCHOOL,90,53
5,16,DUVAL,461,ARLINGTON ELEMENTARY SCHOOL,31,29
5,16,DUVAL,481,THOMAS JEFFERSON ELEMENTARY,92,53
5,16,DUVAL,511,WHITEHOUSE ELEMENTARY SCHOOL,59,81
5,16,DUVAL,591,GARDEN CITY ELEMENTARY SCHOOL,83,33
5,16,DUVAL,641,HOGAN-SPRING GLEN ELEMENTARY SCHOOL,43,44
5,16,DUVAL,651,ATLANTIC BEACH ELEMENTARY SCHOOL,75,63
5,16,DUVAL,681,VENETIA ELEMENTARY SCHOOL,53,58
5,16,DUVAL,701,NORTH SHORE ELEMENTARY,92,29
5,16,DUVAL,711,HENDRICKS AVENUE ELEMENTARY SCHOOL,110,84
5,16,DUVAL,721,SPRING PARK ELEMENTARY SCHOOL,41,29
5,16,DUVAL,731,JOHN LOVE ELEMENTARY SCHOOL,26,15
5,16,DUVAL,741,LAKE FOREST ELEMENTARY SCHOOL,72,28
5,16,DUVAL,761,SOUTHSIDE ESTATES ELEM. SCHOOL,59,44
5,16,DUVAL,771,HYDE PARK ELEMENTARY SCHOOL,47,45
5,16,DUVAL,781,BILTMORE ELEMENTARY SCHOOL,49,27
5,16,DUVAL,791,RAMONA BOULEVARD ELEMENTARY SCHOOL,66,30
5,16,DUVAL,801,SAN PABLO ELEMENTARY SCHOOL,76,84
5,16,DUVAL,821,LOVE GROVE ELEMENTARY SCHOOL,57,40
5,16,DUVAL,831,SAN JOSE ELEMENTARY SCHOOL,99,28
5,16,DUVAL,841,BAYVIEW ELEMENTARY SCHOOL,42,38
5,16,DUVAL,851,LAKE LUCINA ELEMENTARY SCHOOL,49,49
5,16,DUVAL,871,ENGLEWOOD ELEMENTARY SCHOOL,70,60
5,16,DUVAL,881,JOHN STOCKTON ELEMENTARY SCHOOL,88,80
5,16,DUVAL,891,WOODLAND ACRES ELEMENTARY SCHOOL,100,34
5,16,DUVAL,911,SALLYE B. MATHIS ELEMENTARY SCHOOL,44,30
5,16,DUVAL,931,PINEDALE ELEMENTARY SCHOOL,33,33
5,16,DUVAL,941,WINDY HILL ELEMENTARY SCHOOL,86,42
5,16,DUVAL,951,RUTLEDGE H. PEARSON ELEMENTARY SCHO,48,52
5,16,DUVAL,971,CEDAR HILLS ELEMENTARY SCHOOL,53,55
5,16,DUVAL,981,TIMUCUAN ELEMENTARY SCHOOL,90,28
5,16,DUVAL,991,HIGHLANDS ELEMENTARY SCHOOL,34,41
5,16,DUVAL,1061,LONG BRANCH ELEMENTARY SCHOOL,32,25
5,16,DUVAL,1131,WAYMAN ACADEMY OF THE ARTS,29,17
5,16,DUVAL,1161,SADIE T. TILLIS ELEMENTARY SCHOOL,89,36
5,16,DUVAL,1211,TIGER ACADEMY,39,36
5,16,DUVAL,1221,GLOBAL OUTREACH CHARTER ACADEMY,35,20
5,16,DUVAL,1231,DUVAL CHARTER SCHOOL AT ARLINGTON,56,32
5,16,DUVAL,1241,SAINT CLAIR EVANS ACADEMY,60,55
5,16,DUVAL,1251,SOMERSET ACADEMY-ELEMENTARY,30,13
5,16,DUVAL,1271,KIPP IMPACT MIDDLE SCHOOL,91,18
5,16,DUVAL,1281,SUSIE E. TOLBERT ELEMENTARY SCHOOL,107,46
5,16,DUVAL,1291,RIVER CITY SCIENCE ELEMENTARY ACADE,65,60
5,16,DUVAL,1321,DUVAL CHARTER AT BAYMEADOWS,140,69
5,16,DUVAL,1371,SEACOAST CHARTER ACADEMY,22,64
5,16,DUVAL,1411,J. ALLEN AXSON ELEMENTARY SCHOOL,65,72
5,16,DUVAL,1421,CHAFFEE TRAIL ELEMENTARY,116,47
5,16,DUVAL,1431,WEST JACKSONVILLE ELEM. SCHOOL,25,12
5,16,DUVAL,1441,JACKSONVILLE BEACH ELEMENTARY SCHOO,129,99
5,16,DUVAL,1481,RICHARD L. BROWN ELEMENTARY SCHOOL,83,18
5,16,DUVAL,1491,SMART POPE LIVINGSTON ELEMENTARY,61,21
5,16,DUVAL,1501,NEW BERLIN ELEMENTARY SCHOOL,191,69
5,16,DUVAL,1542,JOHN E. FORD K-8 SCHOOL,42,38
5,16,DUVAL,1581,GEORGE WASHINGTON CARVER ELEM.,37,24
5,16,DUVAL,1591,PINE FOREST ELEMENTARY SCHOOL,90,69
5,16,DUVAL,1601,WATERLEAF ELEMENTARY,102,74
5,16,DUVAL,1611,BARTRAM SPRINGS ELEMENTARY,127,87
5,16,DUVAL,1631,RUFUS E. PAYNE ELEMENTARY SCHOOL,40,28
5,16,DUVAL,1661,CARTER G. WOODSON ELEM. SCHOOL,65,37
5,16,DUVAL,1691,S. A. HULL ELEMENTARY SCHOOL,35,40
5,16,DUVAL,1811,HOSPITAL AND HOMEBOUND,3,-1
5,16,DUVAL,1821,YOUTH DEVELOPMENT CENTER,1,-1
5,16,DUVAL,2021,REYNOLDS LANE ELEMENTARY SCHOOL,52,27
5,16,DUVAL,2031,KINGS TRAIL ELEMENTARY SCHOOL,66,50
5,16,DUVAL,2051,PICKETT ELEMENTARY SCHOOL,34,26
5,16,DUVAL,2061,BROOKVIEW ELEMENTARY SCHOOL,120,53
5,16,DUVAL,2081,PARKWOOD HEIGHTS ELEMENTARY SCHOOL,66,42
5,16,DUVAL,2091,HOLIDAY HILL ELEMENTARY SCHOOL,94,51
5,16,DUVAL,2101,OAK HILL ELEMENTARY SCHOOL,73,37
5,16,DUVAL,2141,HYDE GROVE ELEMENTARY SCHOOL,51,20
5,16,DUVAL,2151,JUSTINA ROAD ELEMENTARY SCHOOL,30,17
5,16,DUVAL,2171,DON BREWER ELEMENTARY SCHOOL,165,56
5,16,DUVAL,2181,SAN MATEO ELEMENTARY SCHOOL,131,67
5,16,DUVAL,2201,MARTIN LUTHER KING JR ELEMENTARY SC,47,60
5,16,DUVAL,2211,NORMANDY VILLAGE ELEMENTARY SCHOOL,70,34
5,16,DUVAL,2221,GREENFIELD ELEMENTARY SCHOOL,80,55
5,16,DUVAL,2251,SEABREEZE ELEMENTARY SCHOOL,91,66
5,16,DUVAL,2261,CRYSTAL SPRINGS ELEMENTARY SCHOOL,155,42
5,16,DUVAL,2271,MAYPORT ELEMENTARY SCHOOL,51,73
5,16,DUVAL,2291,JACKSONVILLE HEIGHTS ELEMENTARY SCH,91,41
5,16,DUVAL,2301,BEAUCLERC ELEMENTARY SCHOOL,145,59
5,16,DUVAL,2311,KERNAN TRAIL ELEMENTARY SCHOOL,105,72
5,16,DUVAL,2321,CHIMNEY LAKES ELEMENTARY SCHOOL,179,61
5,16,DUVAL,2331,LONE STAR ELEMENTARY SCHOOL,112,53
5,16,DUVAL,2341,STONEWALL JACKSON ELEM. SCHOOL,57,32
5,16,DUVAL,2351,FORT CAROLINE ELEMENTARY SCHOOL,75,43
5,16,DUVAL,2361,MAMIE AGNES JONES ELEMENTARY SCHOOL,55,45
5,16,DUVAL,2391,SABAL PALM ELEMENTARY SCHOOL,162,67
5,16,DUVAL,2401,ARLINGTON HEIGHTS ELEMENTARY SCHOOL,61,48
5,16,DUVAL,2421,LOUIS S. SHEFFIELD ELEMENTARY SCHOO,124,70
5,16,DUVAL,2431,GREGORY DRIVE ELEMENTARY SCHOOL,106,40
5,16,DUVAL,2451,CROWN POINT ELEMENTARY SCHOOL,130,64
5,16,DUVAL,2461,NEPTUNE BEACH ELEMENTARY SCHOOL,105,70
5,16,DUVAL,2471,JOSEPH FINEGAN ELEMENTARY SCHOOL,54,65
5,16,DUVAL,2491,GREENLAND PINES ELEMENTARY SCHOOL,127,80
5,16,DUVAL,2501,PINE ESTATES ELEMENTARY SCHOOL,37,51
5,16,DUVAL,2511,TWIN LAKES ACADEMY ELEM SCHOOL,152,56
5,16,DUVAL,2551,ENTERPRISE LEARNING ACADEMY,110,48
5,16,DUVAL,2571,ALIMACANI ELEMENTARY SCHOOL,116,75
5,16,DUVAL,2581,MANDARIN OAKS ELEMENTARY SCHOOL,171,76
5,16,DUVAL,2621,ANDREW A. ROBINSON ELEMENTARY SCHOO,108,27
5,16,DUVAL,2631,ABESS PARK ELEMENTARY SCHOOL,99,66
5,16,DUVAL,2641,CHET'S CREEK ELEMENTARY SCHOOL,186,78
5,16,DUVAL,2691,BISCAYNE ELEMENTARY SCHOOL,84,42
5,16,DUVAL,2701,OCEANWAY ELEMENTARY SCHOOL,93,38
5,16,DUVAL,2741,WESTVIEW K-8,111,51
5,16,DUVAL,5371,FL VIRTUAL ACADEMY AT DUVAL COUNTY,15,33
5,16,DUVAL,5411,DUVAL CHARTER SCHOOL AT WESTSIDE,68,26
5,16,DUVAL,5501,SOMERSET K-8,16,25
5,16,DUVAL,7023,DUVAL VIRTUAL INSTRUCTION ACADEMY,14,64
5,17,ESCAMBIA,21,HELLEN CARO ELEMENTARY SCHOOL,149,62
5,17,ESCAMBIA,31,JIM ALLEN ELEMENTARY SCHOOL,103,52
5,17,ESCAMBIA,51,BELLVIEW ELEMENTARY SCHOOL,117,50
5,17,ESCAMBIA,101,BRATT ELEMENTARY SCHOOL,73,53
5,17,ESCAMBIA,111,BRENTWOOD ELEMENTARY SCHOOL,84,35
5,17,ESCAMBIA,191,N. B. COOK ELEMENTARY SCHOOL,111,63
5,17,ESCAMBIA,231,CORDOVA PARK ELEMENTARY SCHOOL,108,80
5,17,ESCAMBIA,271,ENSLEY ELEMENTARY SCHOOL,69,41
5,17,ESCAMBIA,291,FERRY PASS ELEMENTARY SCHOOL,90,48
5,17,ESCAMBIA,361,MONTCLAIR ELEMENTARY SCHOOL,50,18
5,17,ESCAMBIA,371,MYRTLE GROVE ELEMENTARY SCHOOL,111,32
5,17,ESCAMBIA,381,NAVY POINT ELEMENTARY SCHOOL,66,36
5,17,ESCAMBIA,391,OAKCREST ELEMENTARY SCHOOL,64,50
5,17,ESCAMBIA,441,PINE MEADOW ELEMENTARY SCHOOL,164,57
5,17,ESCAMBIA,451,PLEASANT GROVE ELEMENTARY SCHOOL,89,71
5,17,ESCAMBIA,461,SCENIC HEIGHTS ELEMENTARY SCHOOL,142,69
5,17,ESCAMBIA,471,O. J. SEMMES ELEMENTARY SCHOOL,50,28
5,17,ESCAMBIA,491,SHERWOOD ELEMENTARY SCHOOL,106,32
5,17,ESCAMBIA,501,A. K. SUTER ELEMENTARY SCHOOL,57,74
5,17,ESCAMBIA,551,WARRINGTON ELEMENTARY SCHOOL,69,38
5,17,ESCAMBIA,572,C. A. WEIS ELEMENTARY SCHOOL,83,34
5,17,ESCAMBIA,581,WEST PENSACOLA ELEMENTARY SCHOOL,48,35
5,17,ESCAMBIA,602,REINHERDT HOLM ELEMENTARY SCHOOL,59,34
5,17,ESCAMBIA,863,LONGLEAF ELEMENTARY SCHOOL,147,50
5,17,ESCAMBIA,921,L. D. MCARTHUR ELEMENTARY SCHOOL,105,57
5,17,ESCAMBIA,924,LAKEVIEW SPECIAL EDUCATION,5,-1
5,17,ESCAMBIA,933,HOSPITAL & HOMEBOUND,1,-1
5,17,ESCAMBIA,941,BEULAH ELEMENTARY SCHOOL,132,57
5,17,ESCAMBIA,1201,R. C. LIPSCOMB ELEMENTARY SCHOOL,151,60
5,17,ESCAMBIA,1241,BLUE ANGELS ELEMENTARY SCHOOL,128,77
5,17,ESCAMBIA,1261,MOLINO PARK ELEMENTARY,66,67
5,17,ESCAMBIA,1281,GLOBAL LEARNING ACADEMY,99,59
5,17,ESCAMBIA,2104,JACKIE HARRIS PREPARATORY ACADEMY,28,7
5,17,ESCAMBIA,2106,BYRNEVILLE ELEMENTARY SCHOOL INC.,23,61
5,17,ESCAMBIA,2108,PENSACOLA BEACH CHARTER SCHOOL,26,96
5,17,ESCAMBIA,7001,ESCAMBIA VIRTUAL INSTRUCTION PROGRA,8,-1
5,18,FLAGLER,22,BUNNELL ELEMENTARY SCHOOL,164,52
5,18,FLAGLER,51,RYMFIRE ELEMENTARY SCHOOL,177,54
5,18,FLAGLER,61,IMAGINE SCHOOL AT TOWN CENTER,95,51
5,18,FLAGLER,70,PALM HARBOR ACADEMY,5,-1
5,18,FLAGLER,131,LEWIS E. WADSWORTH ELEMENTARY,136,57
5,18,FLAGLER,201,OLD KINGS ELEMENTARY SCHOOL,170,54
5,18,FLAGLER,301,BELLE TERRE ELEMENTARY SCHOOL,212,58
5,18,FLAGLER,501,PHOENIX ACADEMY,38,47
5,19,FRANKLIN,91,FRANKLIN COUNTY SCHOOLS PK-12,52,60
5,19,FRANKLIN,9009,APALACHICOLA BAY CHARTER SCHOOL,40,53
5,20,GADSDEN,41,GEORGE W. MUNROE ELEM. SCHOOL,81,27
5,20,GADSDEN,91,HAVANA ELEMENTARY SCHOOL,58,19
5,20,GADSDEN,101,GADSDEN ELEMENTARY MAGNET SCHOOL,20,75
5,20,GADSDEN,141,GREENSBORO ELEMENTARY SCHOOL,66,32
5,20,GADSDEN,151,CHATTAHOOCHEE ELEMENTARY SCHOOL,23,57
5,20,GADSDEN,171,GRETNA ELEMENTARY SCHOOL,27,30
5,20,GADSDEN,191,ST. JOHNS ELEMENTARY SCHOOL,29,62
5,20,GADSDEN,201,STEWART STREET ELEMENTARY SCHOOL,73,66
5,20,GADSDEN,231,CARTER PARRAMORE ACADEMY,6,-1
5,20,GADSDEN,7001,GADSDEN VIRTUAL INSTRUCTION PROGRAM,1,-1
5,20,GADSDEN,9102,HOPE ACADEMY,1,-1
5,20,GADSDEN,9104,CROSSROAD ACADEMY,35,74
5,20,GADSDEN,9106,GADSDEN CENTRAL ACADEMY,3,-1
5,21,GILCHRIST,32,BELL ELEMENTARY SCHOOL,71,46
5,21,GILCHRIST,41,TRENTON ELEMENTARY SCHOOL,117,62
5,22,GLADES,51,MOORE HAVEN ELEMENTARY SCHOOL,39,33
5,22,GLADES,55,WEST GLADES SCHOOL,60,50
5,22,GLADES,56,PEMAYETV EMAHAKV CHARTER OUR WAY SC,24,71
5,23,GULF,22,WEWAHITCHKA ELEMENTARY SCHOOL,44,32
5,23,GULF,51,PORT ST. JOE ELEMENTARY SCHOOL,82,59
5,24,HAMILTON,31,CENTRAL HAMILTON ELEM. SCHOOL,40,13
5,24,HAMILTON,41,NORTH HAMILTON ELEMENTARY SCHOOL,48,38
5,24,HAMILTON,51,SOUTH HAMILTON ELEMENTARY SCHOOL,21,43
5,24,HAMILTON,7023,HAMILTON VIRTUAL INSTRUC (DISTRICT,2,-1
5,25,HARDEE,11,HILLTOP ELEMENTARY SCHOOL,58,66
5,25,HARDEE,41,BOWLING GREEN ELEMENTARY SCHOOL,72,33
5,25,HARDEE,61,ZOLFO SPRINGS ELEMENTARY SCHOOL,83,42
5,25,HARDEE,91,WAUCHULA ELEMENTARY SCHOOL,106,44
5,25,HARDEE,111,NORTH WAUCHULA ELEMENTARY SCHOOL,84,58
5,26,HENDRY,151,LABELLE ELEMENTARY SCHOOL,65,22
5,26,HENDRY,161,WESTSIDE ELEMENTARY SCHOOL,81,57
5,26,HENDRY,162,EASTSIDE ELEMENTARY SCHOOL,85,53
5,26,HENDRY,171,CENTRAL ELEMENTARY SCHOOL,81,16
5,26,HENDRY,191,COUNTRY OAKS ELEMENTARY SCHOOL,116,47
5,26,HENDRY,192,EDWARD A. UPTHEGROVE ELEMENTARY,70,50
5,27,HERNANDO,52,BROOKSVILLE ELEMENTARY SCHOOL,113,64
5,27,HERNANDO,161,WESTSIDE ELEMENTARY SCHOOL,99,35
5,27,HERNANDO,171,EASTSIDE ELEMENTARY SCHOOL,69,30
5,27,HERNANDO,211,SPRING HILL ELEMENTARY SCHOOL,118,46
5,27,HERNANDO,231,JOHN FLOYD K-8 SCHOOL ENVIRONMENTAL,95,47
5,27,HERNANDO,252,PINE GROVE ELEMENTARY SCHOOL,88,28
5,27,HERNANDO,261,DELTONA ELEMENTARY SCHOOL,116,42
5,27,HERNANDO,271,MOTON ELEMENTARY SCHOOL,98,51
5,27,HERNANDO,321,SUNCOAST ELEMENTARY SCHOOL,128,51
5,27,HERNANDO,331,ENDEAVOR ACADEMY,1,-1
5,27,HERNANDO,341,CHOCACHATTI ELEMENTARY SCHOOL,133,63
5,27,HERNANDO,371,CHALLENGER K-8 SCHOOL OF SCIENCE AN,186,89
5,27,HERNANDO,381,EXPLORER K-8,164,45
5,27,HERNANDO,392,WINDING WATERS K-8,131,60
5,27,HERNANDO,7023,HERNANDO VIRTUAL INSTRUCTION,5,-1
5,28,HIGHLANDS,15,MEMORIAL ELEMENTARY SCHOOL,81,47
5,28,HIGHLANDS,31,LAKE COUNTRY ELEMENTARY SCHOOL,98,21
5,28,HIGHLANDS,51,WOODLAWN ELEMENTARY SCHOOL,111,50
5,28,HIGHLANDS,61,PARK ELEMENTARY SCHOOL,81,49
5,28,HIGHLANDS,71,CRACKER TRAIL ELEMENTARY SCHOOL,140,45
5,28,HIGHLANDS,81,FRED WILD ELEMENTARY SCHOOL,103,35
5,28,HIGHLANDS,101,AVON ELEMENTARY SCHOOL,100,32
5,28,HIGHLANDS,211,LAKE PLACID ELEMENTARY SCHOOL,112,46
5,28,HIGHLANDS,291,SUN 'N LAKE ELEMENTARY SCHOOL,117,38
5,28,HIGHLANDS,7001,HIGHLANDS VIRTUAL SCHOOL PROGRAM,1,-1
5,29,HILLSBOROUGH,42,FOREST HILLS ELEMENTARY SCHOOL,158,36
5,29,HILLSBOROUGH,51,SHEEHY ELEMENTARY SCHOOL,56,38
5,29,HILLSBOROUGH,54,CORR ELEMENTARY SCHOOL,124,51
5,29,HILLSBOROUGH,56,DAVIS ELEMENTARY SCHOOL,97,43
5,29,HILLSBOROUGH,59,FISHHAWK CREEK ELEMENTARY SCHOOL,207,83
5,29,HILLSBOROUGH,60,MACFARLANE PARK ELEMENTARY MAGNET S,61,77
5,29,HILLSBOROUGH,65,COLLINS ELEMENTARY SCHOOL,169,62
5,29,HILLSBOROUGH,69,TURNER ELEMENTARY SCHOOL,167,75
5,29,HILLSBOROUGH,70,FROST ELEMENTARY SCHOOL,115,41
5,29,HILLSBOROUGH,72,DOBY ELEMENTARY SCHOOL,98,59
5,29,HILLSBOROUGH,81,ALEXANDER ELEMENTARY SCHOOL,90,43
5,29,HILLSBOROUGH,84,SUMMERFIELD CROSSINGS ELEMENTARY,146,62
5,29,HILLSBOROUGH,85,STOWERS ELEMENTARY SCHOOL,143,64
5,29,HILLSBOROUGH,92,BAILEY ELEMENTARY,119,51
5,29,HILLSBOROUGH,100,DEER PARK ELEMENTARY,175,80
5,29,HILLSBOROUGH,102,HAMMOND ELEMENTARY SCHOOL,121,79
5,29,HILLSBOROUGH,110,REDDICK ELEMENTARY SCHOOL,114,34
5,29,HILLSBOROUGH,119,MOSI PARTNERSHIP ELEMENTARY,32,66
5,29,HILLSBOROUGH,120,KIMBELL ELEMENTARY,78,40
5,29,HILLSBOROUGH,121,ANDERSON ELEMENTARY SCHOOL,55,75
5,29,HILLSBOROUGH,122,USF/PATEL PARTNERSHIP ELEMENTARY,39,51
5,29,HILLSBOROUGH,123,METROPOLITAN MINISTRIES PARTNERSHIP,6,-1
5,29,HILLSBOROUGH,141,APOLLO BEACH ELEMENTARY SCHOOL,97,75
5,29,HILLSBOROUGH,161,BALLAST POINT ELEMENTARY SCHOOL,50,78
5,29,HILLSBOROUGH,191,BAY CREST ELEMENTARY SCHOOL,131,63
5,29,HILLSBOROUGH,261,BING ELEMENTARY SCHOOL,94,51
5,29,HILLSBOROUGH,271,ALAFIA ELEMENTARY SCHOOL,113,77
5,29,HILLSBOROUGH,282,JUST ELEMENTARY,59,17
5,29,HILLSBOROUGH,311,BOYETTE SPRINGS ELEMENTARY SCHOOL,104,50
5,29,HILLSBOROUGH,361,BEVIS ELEMENTARY SCHOOL,150,94
5,29,HILLSBOROUGH,401,BROOKER ELEMENTARY SCHOOL,128,68
5,29,HILLSBOROUGH,441,BROWARD ELEMENTARY SCHOOL,44,32
5,29,HILLSBOROUGH,521,BRYAN ELEMENTARY SCHOOL,113,35
5,29,HILLSBOROUGH,527,BRYANT ELEMENTARY SCHOOL,154,84
5,29,HILLSBOROUGH,571,BUCKHORN ELEMENTARY SCHOOL,100,66
5,29,HILLSBOROUGH,641,BURNEY ELEMENTARY SCHOOL,55,44
5,29,HILLSBOROUGH,681,CAHOON ELEMENTARY MAGNET SCHOOL,69,64
5,29,HILLSBOROUGH,691,CANNELLA ELEMENTARY SCHOOL,93,49
5,29,HILLSBOROUGH,701,CARROLLWOOD ELEMENTARY SCHOOL,109,73
5,29,HILLSBOROUGH,771,CHIARAMONTE ELEMENTARY SCHOOL,45,58
5,29,HILLSBOROUGH,772,CHILES ELEMENTARY SCHOOL,123,83
5,29,HILLSBOROUGH,801,CITRUS PARK ELEMENTARY SCHOOL,89,60
5,29,HILLSBOROUGH,802,CIMINO ELEMENTARY SCHOOL,133,71
5,29,HILLSBOROUGH,841,CLAIR-MEL ELEMENTARY SCHOOL,83,33
5,29,HILLSBOROUGH,851,CLARK ELEMENTARY SCHOOL,116,74
5,29,HILLSBOROUGH,861,CLAYWELL ELEMENTARY SCHOOL,122,60
5,29,HILLSBOROUGH,881,CLEVELAND ELEMENTARY SCHOOL,52,33
5,29,HILLSBOROUGH,931,COLSON ELEMENTARY SCHOOL,108,49
5,29,HILLSBOROUGH,962,LOCKHART ELEMENTARY MAGNET SCHOOL,53,34
5,29,HILLSBOROUGH,1001,CORK ELEMENTARY SCHOOL,91,57
5,29,HILLSBOROUGH,1021,CRESTWOOD ELEMENTARY SCHOOL,138,43
5,29,HILLSBOROUGH,1051,CYPRESS CREEK ELEMENTARY SCHOOL,170,41
5,29,HILLSBOROUGH,1081,DESOTO ELEMENTARY SCHOOL,29,38
5,29,HILLSBOROUGH,1101,DICKENSON ELEMENTARY SCHOOL,85,44
5,29,HILLSBOROUGH,1201,DOVER ELEMENTARY SCHOOL,77,30
5,29,HILLSBOROUGH,1281,DUNBAR ELEMENTARY MAGNET SCHOOL,50,54
5,29,HILLSBOROUGH,1361,EDISON ELEMENTARY SCHOOL,49,29
5,29,HILLSBOROUGH,1401,EGYPT LAKE ELEMENTARY SCHOOL,62,32
5,29,HILLSBOROUGH,1431,ESSRIG ELEMENTARY SCHOOL,125,77
5,29,HILLSBOROUGH,1471,FOLSOM ELEMENTARY SCHOOL,81,48
5,29,HILLSBOROUGH,1481,FOSTER ELEMENTARY SCHOOL,39,31
5,29,HILLSBOROUGH,1601,GIBSONTON ELEMENTARY SCHOOL,59,49
5,29,HILLSBOROUGH,1681,GORRIE ELEMENTARY SCHOOL,106,90
5,29,HILLSBOROUGH,1721,GRADY ELEMENTARY SCHOOL,55,73
5,29,HILLSBOROUGH,1761,GRAHAM ELEMENTARY SCHOOL,35,51
5,29,HILLSBOROUGH,1776,BELLAMY ELEMENTARY SCHOOL,105,49
5,29,HILLSBOROUGH,1831,HERITAGE ELEMENTARY SCHOOL,90,61
5,29,HILLSBOROUGH,1941,HUNTER'S GREEN ELEMENTARY SCHOOL,122,48
5,29,HILLSBOROUGH,1951,IPPOLITO ELEMENTARY SCHOOL,133,32
5,29,HILLSBOROUGH,2041,JACKSON ELEMENTARY SCHOOL,71,28
5,29,HILLSBOROUGH,2201,KENLY ELEMENTARY SCHOOL,62,42
5,29,HILLSBOROUGH,2261,KINGSWOOD ELEMENTARY SCHOOL,96,42
5,29,HILLSBOROUGH,2291,KNIGHTS ELEMENTARY SCHOOL,96,43
5,29,HILLSBOROUGH,2321,LAKE MAGDALENE ELEMENTARY SCHOOL,118,67
5,29,HILLSBOROUGH,2361,LANIER ELEMENTARY SCHOOL,54,37
5,29,HILLSBOROUGH,2401,LEE ELEMENTARY MAGNET SCHOOL,28,50
5,29,HILLSBOROUGH,2431,LIMONA ELEMENTARY SCHOOL,63,68
5,29,HILLSBOROUGH,2441,LINCOLN ELEMENTARY MAGNET SCHOOL,58,67
5,29,HILLSBOROUGH,2451,LEWIS ELEMENTARY SCHOOL,117,53
5,29,HILLSBOROUGH,2461,LITHIA SPRINGS ELEMENTARY SCHOOL,107,78
5,29,HILLSBOROUGH,2521,LOMAX MAGNET ELEMENTARY SCHOOL,75,51
5,29,HILLSBOROUGH,2531,LOPEZ ELEMENTARY SCHOOL,65,57
5,29,HILLSBOROUGH,2551,LOWRY ELEMENTARY SCHOOL,109,71
5,29,HILLSBOROUGH,2561,LUTZ ELEMENTARY SCHOOL,87,67
5,29,HILLSBOROUGH,2601,MABRY ELEMENTARY SCHOOL,142,88
5,29,HILLSBOROUGH,2721,MANGO ELEMENTARY SCHOOL,110,41
5,29,HILLSBOROUGH,2771,MANISCALCO ELEMENTARY SCHOOL,71,65
5,29,HILLSBOROUGH,2871,MCDONALD ELEMENTARY SCHOOL,86,48
5,29,HILLSBOROUGH,2961,MENDENHALL ELEMENTARY SCHOOL,104,46
5,29,HILLSBOROUGH,2972,MENDEZ EXCEPTIONAL CENTER,6,-1
5,29,HILLSBOROUGH,3041,MILES ELEMENTARY SCHOOL,106,30
5,29,HILLSBOROUGH,3061,MINTZ ELEMENTARY SCHOOL,123,54
5,29,HILLSBOROUGH,3081,MITCHELL ELEMENTARY SCHOOL,85,71
5,29,HILLSBOROUGH,3082,MCKITRICK ELEMENTARY SCHOOL,176,79
5,29,HILLSBOROUGH,3101,MORGAN WOODS ELEMENTARY SCHOOL,92,52
5,29,HILLSBOROUGH,3121,MORT ELEMENTARY SCHOOL,116,27
5,29,HILLSBOROUGH,3141,NELSON ELEMENTARY SCHOOL,136,50
5,29,HILLSBOROUGH,3151,NORTHWEST ELEMENTARY SCHOOL,117,68
5,29,HILLSBOROUGH,3161,OAK GROVE ELEMENTARY SCHOOL,141,48
5,29,HILLSBOROUGH,3181,MULLER ELEMENTARY MAGNET SCHOOL,59,66
5,29,HILLSBOROUGH,3201,OAK PARK ELEMENTARY SCHOOL,92,26
5,29,HILLSBOROUGH,3281,PALM RIVER ELEMENTARY SCHOOL,70,27
